:: Logging to C:\Users\shirao\AppData\Local\Temp\UnitypackageTools20191217190050-1o_gyjyg.log
[INFO   ] 2019-12-17 19:00:50,246::root                     | Current-directory: D:\works\programs\python\vemt\vemt-unitypackage-validator
[INFO   ] 2019-12-17 19:01:35,382::IncludesBlacklist        | Validating IncludesBlacklist.
[WARNING] 2019-12-17 19:01:35,393::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 097bd9baeb9261448a27ade5bd279bd6 (Assets/VRCSDK/Dependencies/VRChat/Scripts/Deprecated)
[WARNING] 2019-12-17 19:01:35,400::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 0d2d4cba733f5eb4ba170368e67710d2 (Assets/VRCSDK/Dependencies/VRChat/Editor/VRC_SpatialAudioSourceEditor.cs)
[WARNING] 2019-12-17 19:01:35,405::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 0d49300ad532d4ae6b569b28de5b7dac (Assets/VRCSDK/Dependencies/VRChat/Scripts/SceneSaver.cs)
[WARNING] 2019-12-17 19:01:35,410::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 10121679f780956408f9a434a526f553 (Assets/VRCSDK/Dependencies/VRChat/Scripts/MaterialFallback/FallbackMaterialCache.cs)
[WARNING] 2019-12-17 19:01:35,413::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 10d9f721d76e07a47bc9e5f61e2fae72 (Assets/VRCSDK/Dependencies/VRChat/Editor/EnvConfig.cs)
[WARNING] 2019-12-17 19:01:35,418::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 13d3efffb839ced4c8426a88a0c3e98c (Assets/VRCSDK/Dependencies/VRChat/Textures/damageGreyNoAlpha.png)
[WARNING] 2019-12-17 19:01:35,426::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 1d2c94db16e356840a089b257eb5d536 (Assets/VRCSDK/Dependencies/AWSSDK)
[WARNING] 2019-12-17 19:01:35,430::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 1e5ebf65c5dceeb4c909aa7812bd2999 (Assets/VRCSDK/Dependencies/VRChat/Scripts/RuntimeBlueprintCreation.cs)
[WARNING] 2019-12-17 19:01:35,435::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 2166f6bbfce69594fad494087eca58e8 (Assets/VRCSDK/Dependencies/VRChat/Materials/damageGrey.mat)
[WARNING] 2019-12-17 19:01:35,438::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 22c6ac969f4a34beb8d451990b80ef14 (Assets/VRCSDK/Dependencies/VRChat/Resources)
[WARNING] 2019-12-17 19:01:35,440::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 23868bd667cf64b479fbd8d1039e2cd2 (Assets/VRCSDK/Dependencies)
[WARNING] 2019-12-17 19:01:35,446::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 2886eb1248200a94d9eaec82336fbbad (Assets/VRCSDK/Dependencies/VRChat/Resources/PerformanceIcons/Perf_Horrible_32.png)
[WARNING] 2019-12-17 19:01:35,450::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 2bd5ee5d69ee0f3449bf2f81fcb7f4e3 (Assets/VRCSDK/Dependencies/VRChat/Scripts/RuntimeWorldCreation.cs)
[WARNING] 2019-12-17 19:01:35,453::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 2be1edbf636a04c46b3a2e4a134135ba (Assets/VRCSDK/Examples)
[WARNING] 2019-12-17 19:01:35,459::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 318c96e9cf64fb44a8aeb0f088e53f96 (Assets/VRCSDK/Dependencies/DotZLib/Plugins/x86_64)
[WARNING] 2019-12-17 19:01:35,471::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 34b0990e1522a284b9666d6821cd601c (Assets/VRCSDK/Dependencies/DotZLib/DotZLib.dll)
[WARNING] 2019-12-17 19:01:35,480::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 36349feed06587e479724a1a09c0b267 (Assets/VRCSDK/Dependencies/VRChat/Resources/CL_Icons/Icon_New.png)
[WARNING] 2019-12-17 19:01:35,484::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 36c0d886a26373c46be857f2fc441071 (Assets/VRCSDK/Dependencies/VRChat/Scripts/ApiFileHelper.cs)
[WARNING] 2019-12-17 19:01:35,490::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 37b4abef7420c4c7ea71dbe76757498a (Assets/VRCSDK/Dependencies/VRChat/Resources/endpoints.json)
[WARNING] 2019-12-17 19:01:35,493::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 37df42a4ff2f9194798380947d74d3f0 (Assets/VRCSDK/Dependencies/AWSSDK/AWSSDK.Core.pdb)
[WARNING] 2019-12-17 19:01:35,496::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 38956f4b67ba0984587b1a913d05beea (Assets/VRCSDK/Dependencies/VRChat/Resources/vrcSdkHeader.png)
[WARNING] 2019-12-17 19:01:35,500::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 3a71aca790a5f774e9b2c6802399180d (Assets/VRCSDK/Dependencies/DotZLib)
[WARNING] 2019-12-17 19:01:35,505::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 3bb6d22e89000724b90fb830af69384b (Assets/Plugins/VRCSDK/x86_64/sqlite3.dll)
[WARNING] 2019-12-17 19:01:35,508::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 3d6a1d7b0624f414ba6fb922687a06da (Assets/VRCSDK/Dependencies/VRChat/Editor/AWS/S3Manager.cs)
[WARNING] 2019-12-17 19:01:35,512::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 3f99dc7f0fc77da449d80339ad62776f (Assets/VRCSDK/Dependencies/AWSSDK/AWSSDK.S3.pdb)
[WARNING] 2019-12-17 19:01:35,514::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 40895a3d0d3ec475c8ff555d0c40f7cb (Assets/VRCSDK)
[WARNING] 2019-12-17 19:01:35,518::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 4109d4977ddfb6548b458318e220ac70 (Assets/VRCSDK/Dependencies/VRChat/Resources/PerformanceIcons/Perf_Good_32.png)
[WARNING] 2019-12-17 19:01:35,524::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 43066d8a73c579048891e3c123e252a0 (Assets/VRCSDK/Dependencies/VRChat/Resources/2FAIcons/SDK_Warning_Triangle_icon.png)
[WARNING] 2019-12-17 19:01:35,530::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 4810e652e8242384c834320970702290 (Assets/VRCSDK/Dependencies/VRChat/Editor/EventHandlerEditor.cs)
[WARNING] 2019-12-17 19:01:35,534::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 48f08c32d637f484996cd3ffb6f20ad3 (Assets/VRCSDK/Examples/Scenes/Example-Avatar.unity)
[WARNING] 2019-12-17 19:01:35,537::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 4a9696f3dea8a764f9c4bc6d2e652b74 (Assets/VRCSDK/Dependencies/VRChat/Editor/VRCCachedWWW.cs)
[WARNING] 2019-12-17 19:01:35,540::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 4acdf7b3eb426480bb5acf58638bd493 (Assets/VRCSDK/Dependencies/VRChat/Resources/awsconfig.xml)
[WARNING] 2019-12-17 19:01:35,546::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 4ecd63eff847044b68db9453ce219299 (Assets/VRCSDK/Dependencies/VRChat/VRCCore-Editor.dll)
[WARNING] 2019-12-17 19:01:35,551::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 534760d5f8b40420d8dbff996c9060a8 (Assets/VRCSDK/Dependencies/VRChat)
[WARNING] 2019-12-17 19:01:35,555::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 54f59547b5261e64f8256d6daaa01b17 (Assets/VRCSDK/Dependencies/DotZLib/Plugins/x86_64/zlibwapi.dll)
[WARNING] 2019-12-17 19:01:35,558::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 551946bfd2b165f419f297805d1e1256 (Assets/VRCSDK/Dependencies/VRChat/Resources/vrcSdkBottomHeader.png)
[WARNING] 2019-12-17 19:01:35,561::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 574563b688a5ed54b978ae8718c2194d (Assets/VRCSDK/Dependencies/Oculus/Spatializer/Editor)
[WARNING] 2019-12-17 19:01:35,566::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 5a8cc42eaba7a2a41b6ca3be3c40b315 (Assets/VRCSDK/Dependencies/SharpZipLib/ICSharpCode.SharpZipLib.dll)
[WARNING] 2019-12-17 19:01:35,569::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 5bcb9da18f452db438e1cee74fb83f99 (Assets/VRCSDK/Dependencies/VRChat/link.xml)
[WARNING] 2019-12-17 19:01:35,572::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 5c545625e0bf93045ac1c5864141c5c1 (Assets/VRCSDK/Dependencies/VRChat/Editor/VRC_PlayerAudioOverrideEditor.cs)
[WARNING] 2019-12-17 19:01:35,575::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 5d1d3d680f64d364093e8a43d119c9b4 (Assets/VRCSDK/Dependencies/librsync)
[WARNING] 2019-12-17 19:01:35,581::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 625a50dd0dd525a49a41cb3e3117fa15 (Assets/VRCSDK/Dependencies/AWSSDK/AWSSDK.SecurityToken.dll)
[WARNING] 2019-12-17 19:01:35,583::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 63a46438a8152c74c980a66bfaf7b61c (Assets/VRCSDK/Dependencies/Oculus/Spatializer)
[WARNING] 2019-12-17 19:01:35,587::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 644caf5607820c7418cf0d248b12f33b (Assets/VRCSDK/Dependencies/VRChat/Resources/PerformanceIcons/Perf_Great_32.png)
[WARNING] 2019-12-17 19:01:35,589::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 64a9362ea816c2044ab72824797433ec (Assets/VRCSDK/Dependencies/VRChat/Models)
[WARNING] 2019-12-17 19:01:35,605::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 7b8bb626428d0f341b9ed6a68cb5c9cc (Assets/VRCSDK/Dependencies/VRChat/Editor/SDKUpdater.cs)
[WARNING] 2019-12-17 19:01:35,610::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 7e926352ca9331b46a597bf742380d2b (Assets/VRCSDK/Dependencies/AWSSDK/AWSSDK.CognitoIdentity.pdb)
[WARNING] 2019-12-17 19:01:35,613::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 820ee6e459999be418b410c7af108bc3 (Assets/VRCSDK/Dependencies/AWSSDK/AWSSDK.CognitoIdentity.dll)
[WARNING] 2019-12-17 19:01:35,618::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 841c3ce718e8b61408005c1cfce6b7de (Assets/VRCSDK/Dependencies/VRChat/Models/Materials/lambert2.mat)
[WARNING] 2019-12-17 19:01:35,622::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 870f0af7a0faa4549b23563e17e9e162 (Assets/VRCSDK/Examples/Scenes)
[WARNING] 2019-12-17 19:01:35,626::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 87a811b1da3575c48ad3b7fcd9fc03df (Assets/VRCSDK/Dependencies/AWSSDK/AWSSDK.SecurityToken.pdb)
[WARNING] 2019-12-17 19:01:35,631::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 8cdc6e04f0d11184d8acb16c27cc3695 (Assets/VRCSDK/Dependencies/VRChat/Resources/2FAIcons)
[WARNING] 2019-12-17 19:01:35,634::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 8d047eaa3325d654aa62ccad6f73eb93 (Assets/VRCSDK/Dependencies/VRChat/Scripts/CommunityLabsConstants.cs)
[WARNING] 2019-12-17 19:01:35,637::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 8d95767408d35544c98f92ef7279b8db (Assets/VRCSDK/Dependencies/VRChat/Textures/damageGRNoAlpha.png)
[WARNING] 2019-12-17 19:01:35,642::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 912b2ac597cb1ad4c9bdc1a98ec15459 (Assets/VRCSDK/Dependencies/librsync/librsync.net.dll)
[WARNING] 2019-12-17 19:01:35,645::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 9296abd40c7c1934cb668aae07b41c69 (Assets/VRCSDK/Dependencies/VRChat/Resources/PerformanceIcons/Perf_Medium_32.png)
[WARNING] 2019-12-17 19:01:35,649::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 94693a1781c168a47a2a3ef863992cd8 (Assets/VRCSDK/Dependencies/DotZLib/Plugins/x86)
[WARNING] 2019-12-17 19:01:35,652::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 94b649c2bd1ac4cac95049605dc5333d (Assets/VRCSDK/Dependencies/VRChat/Materials/BlueprintCam.renderTexture)
[WARNING] 2019-12-17 19:01:35,659::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 99a3cc965a6419644b54113eb9983bd0 (Assets/VRCSDK/Dependencies/Oculus)
[WARNING] 2019-12-17 19:01:35,663::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 9ceea87507dde1e4e9f4d2f9b3218898 (Assets/Plugins/VRCSDK)
[WARNING] 2019-12-17 19:01:35,667::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is 9fccfe4147c06af49a3a24fac58acee3 (Assets/VRCSDK/Examples/Scenes/Example-VideoPlayerSync.unity)
[WARNING] 2019-12-17 19:01:35,676::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is a2e4b2ce02fa7914895069e5fdbf112d (Assets/VRCSDK/Dependencies/librsync/Blake2Sharp.dll)
[WARNING] 2019-12-17 19:01:35,684::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is a3132e0ab7e16494a9d492087a1ca447 (Assets/VRCSDK/Dependencies/VRChat/Scripts/RuntimeAPICreation.cs)
[WARNING] 2019-12-17 19:01:35,691::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is a45642ab77cf9604887c9bcb222c596f (Assets/VRCSDK/Dependencies/VRChat/Editor/AWS)
[WARNING] 2019-12-17 19:01:35,708::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is acadc6659c5ab3446ad0d5de2563f95f (Assets/VRCSDK/Dependencies/VRChat/Scripts/AudioManagerSettings.cs)
[WARNING] 2019-12-17 19:01:35,714::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is aecaffc7454b52e448fc0ea1aef2dd1d (Assets/VRCSDK/Dependencies/AWSSDK/AWSSDK.Core.dll)
[WARNING] 2019-12-17 19:01:35,722::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is b0e1c0f72d838fe49bfe88b987a471bd (Assets/VRCSDK/Dependencies/VRChat/VRCCore-Standalone.dll)
[WARNING] 2019-12-17 19:01:35,725::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is b14e1b78a061f8543b2f4120b5c369fa (Assets/VRCSDK/Dependencies/VRChat/Resources/VRCSDKAvatar.prefab)
[WARNING] 2019-12-17 19:01:35,732::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is b609c54f9d3581e4fa22b3e389fd8d33 (Assets/VRCSDK/Dependencies/DotZLib/Plugins/x86/zlibwapi.dll)
[WARNING] 2019-12-17 19:01:35,737::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is bad6d2f46b6209f4e94b6a2fab7bcbb4 (Assets/VRCSDK/Dependencies/VRChat/Resources/PerformanceIcons)
[WARNING] 2019-12-17 19:01:35,741::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is bcebf3fa72e77814ca23a3c6b95c0241 (Assets/VRCSDK/Dependencies/VRChat/Textures)
[WARNING] 2019-12-17 19:01:35,745::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is be98467dc5d3c4eb1aeef22952913b0e (Assets/VRCSDK/Dependencies/VRChat/Resources/VRCCam.prefab)
[WARNING] 2019-12-17 19:01:35,748::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is bf75855ba75334dcda55369ce8ec170c (Assets/VRCSDK/Dependencies/VRChat/Materials)
[WARNING] 2019-12-17 19:01:35,752::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is c0f7ad406aeb6f64ab5c36b429a466b7 (Assets/VRCSDK/Dependencies/VRChat/Scripts/MaterialFallback)
[WARNING] 2019-12-17 19:01:35,755::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is c14013523bc17ec43be2524a06ffcc21 (Assets/VRCSDK/Examples/Scenes/Example-Triggers.unity)
[WARNING] 2019-12-17 19:01:35,759::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is c3215fde7fc71504fb3b192b10dbf263 (Assets/Plugins/VRCSDK/x86_64)
[WARNING] 2019-12-17 19:01:35,766::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is cb5d1f9882b08564cae97b2b14ad4e8f (Assets/VRCSDK/Dependencies/VRChat/Editor/VRC_EditorTools.cs)
[WARNING] 2019-12-17 19:01:35,769::IncludesBlacklist        | [ FIX ] Deleted asset due to IncludedBlacklist. Asset is cb850b86de9091d4db4595959c56f954 (Assets/VRCSDK/Dependencies/Oculus/Spatializer/Editor/ONSPAudioSourceEditor.cs)
